"pubid","year","interestgov","regvote","didvote"
90,2008,1,1,NA
90,2010,1,1,NA
91,2004,2,NA,1
91,2006,2,1,NA
91,2008,1,NA,1
91,2010,1,NA,1
92,2004,3,0,0
92,2006,4,1,NA
92,2008,4,NA,1
92,2010,4,1,0
93,2004,3,0,0
93,2006,3,NA,0
93,2008,1,0,NA
93,2010,1,0,0
94,2004,2,NA,1
94,2006,3,NA,1
94,2008,2,NA,1
94,2010,2,NA,1
95,2004,1,0,0
95,2006,4,NA,0
95,2008,NA,NA,NA
95,2010,NA,NA,NA
96,2004,NA,NA,NA
96,2006,NA,NA,NA
96,2008,2,NA,1
96,2010,NA,NA,NA
97,2004,2,NA,1
97,2006,3,NA,1
97,2008,1,NA,1
97,2010,2,1,0
98,2004,NA,NA,NA
98,2006,NA,NA,NA
98,2008,NA,NA,NA
98,2010,3,NA,NA
99,2004,NA,0,0
99,2006,NA,NA,NA
99,2008,NA,NA,NA
99,2010,NA,NA,NA
100,2004,3,0,0
100,2006,2,0,NA
100,2008,2,NA,1
100,2010,3,1,0
101,2004,2,NA,1
101,2006,2,NA,1
101,2008,3,1,NA
101,2010,4,1,NA
102,2004,NA,NA,NA
102,2006,NA,NA,NA
102,2008,NA,NA,NA
102,2010,NA,NA,NA
103,2004,NA,NA,NA
103,2006,NA,NA,NA
103,2008,NA,NA,NA
103,2010,NA,NA,NA
104,2004,1,1,0
104,2006,2,NA,1
104,2008,2,NA,1
104,2010,1,NA,1
105,2004,1,NA,1
105,2006,2,NA,1
105,2008,1,NA,1
105,2010,1,NA,1
106,2004,NA,NA,NA
106,2006,NA,NA,NA
106,2008,1,NA,1
106,2010,NA,NA,NA
107,2004,2,NA,1
107,2006,1,NA,1
107,2008,1,NA,1
107,2010,1,1,0
108,2004,1,NA,1
108,2006,1,NA,1
108,2008,1,1,NA
108,2010,1,NA,1
109,2004,2,0,0
109,2006,1,1,0
109,2008,1,0,0
109,2010,3,0,0
110,2004,4,0,0
110,2006,1,1,0
110,2008,4,NA,1
110,2010,1,NA,1
111,2004,2,NA,1
111,2006,1,1,0
111,2008,2,NA,1
111,2010,4,1,0
112,2004,4,0,0
112,2006,3,1,0
112,2008,NA,NA,NA
112,2010,NA,NA,NA
113,2004,1,NA,1
113,2006,1,NA,1
113,2008,4,NA,1
113,2010,3,1,0
114,2004,3,NA,1
114,2006,2,1,0
114,2008,4,1,0
114,2010,4,1,0
115,2004,NA,NA,NA
115,2006,NA,NA,NA
115,2008,4,NA,1
115,2010,NA,NA,NA
116,2004,4,NA,0
116,2006,2,1,0
116,2008,4,1,0
116,2010,4,0,0
